"","Station","hour","minutezone","bikesout","bikesin","bikediff"
"15191","University Ave NE & 12th Ave NE",0,"45_59",0.032258064516129,-0.00921658986175115,0.0230414746543779
"15192","University Ave NE & 12th Ave NE",1,"0_14",0.0138248847926267,-0.0184331797235023,-0.00460829493087558
"15193","University Ave NE & 12th Ave NE",1,"15_29",0.00460829493087558,-0.00921658986175115,-0.00460829493087558
"15194","University Ave NE & 12th Ave NE",1,"30_44",0.00460829493087558,0,0.00460829493087558
"15195","University Ave NE & 12th Ave NE",1,"45_59",0.00460829493087558,0,0.00460829493087558
"15196","University Ave NE & 12th Ave NE",2,"0_14",0.0184331797235023,-0.0138248847926267,0.00460829493087558
"15197","University Ave NE & 12th Ave NE",2,"15_29",0.00921658986175115,-0.00460829493087558,0.00460829493087558
"15198","University Ave NE & 12th Ave NE",2,"30_44",0,-0.0138248847926267,-0.0138248847926267
"15199","University Ave NE & 12th Ave NE",2,"45_59",0,-0.00460829493087558,-0.00460829493087558
"15200","University Ave NE & 12th Ave NE",3,"0_14",0,-0.00921658986175115,-0.00921658986175115
"15201","University Ave NE & 12th Ave NE",4,"0_14",0,-0.00921658986175115,-0.00921658986175115
"15202","University Ave NE & 12th Ave NE",4,"15_29",0,-0.00460829493087558,-0.00460829493087558
"15203","University Ave NE & 12th Ave NE",4,"30_44",0,-0.00460829493087558,-0.00460829493087558
"15204","University Ave NE & 12th Ave NE",4,"45_59",0,-0.00460829493087558,-0.00460829493087558
"15205","University Ave NE & 12th Ave NE",5,"15_29",0.00460829493087558,0,0.00460829493087558
"15206","University Ave NE & 12th Ave NE",5,"30_44",0.00460829493087558,0,0.00460829493087558
"15207","University Ave NE & 12th Ave NE",5,"45_59",0.00460829493087558,0,0.00460829493087558
"15208","University Ave NE & 12th Ave NE",6,"0_14",0.00460829493087558,0,0.00460829493087558
"15209","University Ave NE & 12th Ave NE",6,"15_29",0.0138248847926267,-0.00460829493087558,0.00921658986175115
"15210","University Ave NE & 12th Ave NE",7,"0_14",0.0138248847926267,0,0.0138248847926267
"15211","University Ave NE & 12th Ave NE",7,"15_29",0.0460829493087558,0,0.0460829493087558
"15212","University Ave NE & 12th Ave NE",7,"30_44",0.0829493087557604,-0.00460829493087558,0.0783410138248848
"15213","University Ave NE & 12th Ave NE",7,"45_59",0.0691244239631336,-0.0138248847926267,0.0552995391705069
"15214","University Ave NE & 12th Ave NE",8,"0_14",0.0368663594470046,-0.0138248847926267,0.0230414746543779
"15215","University Ave NE & 12th Ave NE",8,"15_29",0.0460829493087558,0,0.0460829493087558
"15216","University Ave NE & 12th Ave NE",8,"30_44",0.032258064516129,-0.0138248847926267,0.0184331797235023
"15217","University Ave NE & 12th Ave NE",8,"45_59",0.0460829493087558,-0.00460829493087558,0.0414746543778802
"15218","University Ave NE & 12th Ave NE",9,"0_14",0.0138248847926267,-0.0184331797235023,-0.00460829493087558
"15219","University Ave NE & 12th Ave NE",9,"15_29",0.0276497695852535,-0.00921658986175115,0.0184331797235023
"15220","University Ave NE & 12th Ave NE",9,"30_44",0.0645161290322581,-0.00921658986175115,0.0552995391705069
"15221","University Ave NE & 12th Ave NE",9,"45_59",0.0230414746543779,-0.0138248847926267,0.00921658986175115
"15222","University Ave NE & 12th Ave NE",10,"0_14",0.0276497695852535,-0.0276497695852535,0
"15223","University Ave NE & 12th Ave NE",10,"15_29",0.0506912442396313,-0.0138248847926267,0.0368663594470046
"15224","University Ave NE & 12th Ave NE",10,"30_44",0.0414746543778802,-0.0230414746543779,0.0184331797235023
"15225","University Ave NE & 12th Ave NE",10,"45_59",0.0552995391705069,-0.032258064516129,0.0230414746543779
"15226","University Ave NE & 12th Ave NE",11,"0_14",0.0460829493087558,-0.032258064516129,0.0138248847926267
"15227","University Ave NE & 12th Ave NE",11,"15_29",0.0737327188940092,-0.00921658986175115,0.0645161290322581
"15228","University Ave NE & 12th Ave NE",11,"30_44",0.0875576036866359,-0.0552995391705069,0.032258064516129
"15229","University Ave NE & 12th Ave NE",11,"45_59",0.0414746543778802,-0.0230414746543779,0.0184331797235023
"15230","University Ave NE & 12th Ave NE",12,"0_14",0.0414746543778802,-0.0967741935483871,-0.0552995391705069
"15231","University Ave NE & 12th Ave NE",12,"15_29",0.0230414746543779,-0.0414746543778802,-0.0184331797235023
"15232","University Ave NE & 12th Ave NE",12,"30_44",0.0737327188940092,-0.0599078341013825,0.0138248847926267
"15233","University Ave NE & 12th Ave NE",12,"45_59",0.0921658986175115,-0.0691244239631336,0.0230414746543779
"15234","University Ave NE & 12th Ave NE",13,"0_14",0.105990783410138,-0.0368663594470046,0.0691244239631336
"15235","University Ave NE & 12th Ave NE",13,"15_29",0.0967741935483871,-0.0967741935483871,0
"15236","University Ave NE & 12th Ave NE",13,"30_44",0.0368663594470046,-0.0829493087557604,-0.0460829493087558
"15237","University Ave NE & 12th Ave NE",13,"45_59",0.0829493087557604,-0.133640552995392,-0.0506912442396313
"15238","University Ave NE & 12th Ave NE",14,"0_14",0.133640552995392,-0.110599078341014,0.0230414746543779
"15239","University Ave NE & 12th Ave NE",14,"15_29",0.15668202764977,-0.165898617511521,-0.00921658986175117
"15240","University Ave NE & 12th Ave NE",14,"30_44",0.152073732718894,-0.101382488479263,0.0506912442396313
"15241","University Ave NE & 12th Ave NE",14,"45_59",0.124423963133641,-0.105990783410138,0.0184331797235023
"15242","University Ave NE & 12th Ave NE",15,"0_14",0.147465437788018,-0.152073732718894,-0.00460829493087558
"15243","University Ave NE & 12th Ave NE",15,"15_29",0.161290322580645,-0.207373271889401,-0.0460829493087558
"15244","University Ave NE & 12th Ave NE",15,"30_44",0.105990783410138,-0.129032258064516,-0.0230414746543779
"15245","University Ave NE & 12th Ave NE",15,"45_59",0.0552995391705069,-0.179723502304147,-0.124423963133641
"15246","University Ave NE & 12th Ave NE",16,"0_14",0.115207373271889,-0.165898617511521,-0.0506912442396313
"15247","University Ave NE & 12th Ave NE",16,"15_29",0.129032258064516,-0.152073732718894,-0.0230414746543779
"15248","University Ave NE & 12th Ave NE",16,"30_44",0.0875576036866359,-0.170506912442396,-0.0829493087557604
"15249","University Ave NE & 12th Ave NE",16,"45_59",0.119815668202765,-0.161290322580645,-0.0414746543778802
"15250","University Ave NE & 12th Ave NE",17,"0_14",0.15668202764977,-0.19815668202765,-0.0414746543778802
"15251","University Ave NE & 12th Ave NE",17,"15_29",0.165898617511521,-0.230414746543779,-0.0645161290322581
"15252","University Ave NE & 12th Ave NE",17,"30_44",0.0921658986175115,-0.248847926267281,-0.15668202764977
"15253","University Ave NE & 12th Ave NE",17,"45_59",0.175115207373272,-0.202764976958525,-0.0276497695852535
"15254","University Ave NE & 12th Ave NE",18,"0_14",0.0967741935483871,-0.129032258064516,-0.032258064516129
"15255","University Ave NE & 12th Ave NE",18,"15_29",0.179723502304147,-0.175115207373272,0.00460829493087558
"15256","University Ave NE & 12th Ave NE",18,"30_44",0.105990783410138,-0.184331797235023,-0.0783410138248848
"15257","University Ave NE & 12th Ave NE",18,"45_59",0.147465437788018,-0.175115207373272,-0.0276497695852534
"15258","University Ave NE & 12th Ave NE",19,"0_14",0.101382488479263,-0.179723502304147,-0.0783410138248848
"15259","University Ave NE & 12th Ave NE",19,"15_29",0.0921658986175115,-0.15668202764977,-0.064516129032258
"15260","University Ave NE & 12th Ave NE",19,"30_44",0.147465437788018,-0.152073732718894,-0.00460829493087558
"15261","University Ave NE & 12th Ave NE",19,"45_59",0.115207373271889,-0.202764976958525,-0.087557603686636
"15262","University Ave NE & 12th Ave NE",20,"0_14",0.0921658986175115,-0.152073732718894,-0.0599078341013825
"15263","University Ave NE & 12th Ave NE",20,"15_29",0.0552995391705069,-0.267281105990783,-0.211981566820276
"15264","University Ave NE & 12th Ave NE",20,"30_44",0.0783410138248848,-0.115207373271889,-0.0368663594470046
"15265","University Ave NE & 12th Ave NE",20,"45_59",0.0552995391705069,-0.0645161290322581,-0.00921658986175115
"15266","University Ave NE & 12th Ave NE",21,"0_14",0.0645161290322581,-0.119815668202765,-0.0552995391705069
"15267","University Ave NE & 12th Ave NE",21,"15_29",0.0645161290322581,-0.105990783410138,-0.0414746543778802
"15268","University Ave NE & 12th Ave NE",21,"30_44",0.0506912442396313,-0.124423963133641,-0.0737327188940092
"15269","University Ave NE & 12th Ave NE",21,"45_59",0.0276497695852535,-0.0691244239631336,-0.0414746543778802
"15270","University Ave NE & 12th Ave NE",22,"0_14",0.124423963133641,-0.0552995391705069,0.0691244239631336
"15271","University Ave NE & 12th Ave NE",22,"15_29",0.0552995391705069,-0.0138248847926267,0.0414746543778802
"15272","University Ave NE & 12th Ave NE",22,"30_44",0.0230414746543779,-0.0506912442396313,-0.0276497695852535
"15273","University Ave NE & 12th Ave NE",22,"45_59",0.0460829493087558,-0.0645161290322581,-0.0184331797235023
"15274","University Ave NE & 12th Ave NE",23,"0_14",0.0368663594470046,-0.0783410138248848,-0.0414746543778802
"15275","University Ave NE & 12th Ave NE",23,"15_29",0.0138248847926267,-0.0783410138248848,-0.0645161290322581
"15276","University Ave NE & 12th Ave NE",23,"30_44",0.0276497695852535,-0.0368663594470046,-0.00921658986175115
"15277","University Ave NE & 12th Ave NE",23,"45_59",0.0552995391705069,-0.0368663594470046,0.0184331797235023
"15278","University Ave SE & Bedford Street SE",0,"0_14",0.00460829493087558,-0.0138248847926267,-0.00921658986175115
"15279","University Ave SE & Bedford Street SE",0,"15_29",0,-0.0276497695852535,-0.0276497695852535
"15280","University Ave SE & Bedford Street SE",0,"30_44",0,-0.00921658986175115,-0.00921658986175115
"15281","University Ave SE & Bedford Street SE",0,"45_59",0,-0.00921658986175115,-0.00921658986175115
"15282","University Ave SE & Bedford Street SE",1,"0_14",0.00460829493087558,-0.00460829493087558,0
"15283","University Ave SE & Bedford Street SE",1,"15_29",0.00460829493087558,-0.0138248847926267,-0.00921658986175115
"15284","University Ave SE & Bedford Street SE",1,"30_44",0,-0.00921658986175115,-0.00921658986175115
"15285","University Ave SE & Bedford Street SE",1,"45_59",0.0138248847926267,0,0.0138248847926267
"15286","University Ave SE & Bedford Street SE",2,"0_14",0.00921658986175115,0,0.00921658986175115
"15287","University Ave SE & Bedford Street SE",2,"15_29",0.00460829493087558,0,0.00460829493087558
"15288","University Ave SE & Bedford Street SE",2,"30_44",0.00460829493087558,-0.00460829493087558,0
"15289","University Ave SE & Bedford Street SE",2,"45_59",0.00460829493087558,0,0.00460829493087558
"15290","University Ave SE & Bedford Street SE",3,"0_14",0,-0.00921658986175115,-0.00921658986175115
"15291","University Ave SE & Bedford Street SE",3,"15_29",0,-0.00921658986175115,-0.00921658986175115
