"","Start.station","End.station","count"
"150","2nd Street SE & 5th Ave SE","2nd Street SE & 5th Ave SE",295
"151","4th Street & 13th Ave SE","4th Street & 13th Ave SE",295
"152","Weisman Art Museum","4th Street & 17th Ave SE",294
"153","Portland Ave & Washington Ave","Portland Ave & Washington Ave",292
"154","Mayo Memorial Building","Oak Street Ramp",291
"155","100 Main Street SE","Gateway Park",290
"156","IDS Center","6th Ave SE & University Ave",290
"157","4th Street & 13th Ave SE","Williamson Hall",289
"158","4th Street & 17th Ave SE","Weisman Art Museum",288
"159","Chicago Ave & S Washington Ave","100 Main Street SE",285
"160","West 36th Street & Bryant Ave S","West 36th Street & Bryant Ave S",285
"161","Weisman Art Museum","4th Street & 13th Ave SE",284
"162","Como Ave SE & 29th Ave SE","Washington Ave SE & Union Street SE",283
"163","McNamara Center","Delaware Street SE & 26th Ave SE",283
"164","Washington & Marquette","Washington & Marquette",282
"165","Delaware Street SE & 26th Ave SE","Coffman Union",280
"166","Social Sciences","15th Ave SE & 4th Street SE",280
"167","University & Bank Street SE","South 2nd Street & 3rd Ave S",279
"168","Weisman Art Museum","McNamara Center",279
"169","100 Main Street SE","Boom Island Park",278
"170","Coffman Union","Delaware Street SE & 26th Ave SE",278
"171","Midtown Greenway & 5th Ave S","Lake Street & Knox Ave S",278
"172","Weisman Art Museum","Weisman Art Museum",278
"173","Hennepin County Government Center","Park Ave & 4th Street S",277
"174","Hennepin County Government Center","West 15th Street & Willow",277
"175","S 5th Street & Nicollet Mall","S 5th Street & Nicollet Mall",277
"176","University & Bank Street SE","6th Ave SE & University Ave",276
"177","Walker Art Center","Lake Street & Knox Ave S",275
"178","Willey Hall","Willey Hall",275
"179","Boom Island Park","North Mississippi Regional Park",274
"180","Mill City Quarter","100 Main Street SE",274
"181","Walker Art Center","Walker Art Center",273
"182","15th Ave SE & Como Ave SE","15th Ave SE & 4th Street SE",272
"183","McNamara Center","4th Street & 17th Ave SE",272
"184","15th Ave SE & Como Ave SE","Weisman Art Museum",269
"185","4th Street & 13th Ave SE","Washington & Cedar",268
"186","Hiawatha Ave & E 50th Street","Minnehaha Park",268
"187","Washington Ave SE & Union Street SE","Weisman Art Museum",268
"188","Loring Park","Loring Park",267
"189","North Mississippi Regional Park","North Mississippi Regional Park",266
"190","100 Main Street SE","Mill City Quarter",264
"191","Nicollet Mall & Grant Street","Hennepin County Government Center",264
"192","100 Main Street SE","N 4th Ave & W River Parkway",263
"193","Coffman Union","4th Street S & 19th Ave",263
"194","Hidden Falls Park","Hidden Falls Park",262
"195","North 2nd Street & 4th Ave N","2nd Ave N & N 6th Street",260
"196","McNamara Center","Williamson Hall",258
"197","South 2nd Street & 3rd Ave S","IDS Center",257
"198","Park Ave & 4th Street S","Park Ave & 4th Street S",256
"199","6th Ave SE & University Ave","100 Main Street SE",255
"200","Midtown Greenway & 5th Ave S","Midtown Greenway & 5th Ave S",255
"201","N 4th Ave & W River Parkway","100 Main Street SE",255
"202","Sanford Hall","Washington Ave SE & Union Street SE",255
"203","100 Main Street SE","Chicago Ave & S Washington Ave",254
"204","Lake Calhoun Center","W 36th Street & W Calhoun Parkway",253
"205","McNamara Center","23rd Ave SE & 6th Street SE",253
"206","Weisman Art Museum","15th Ave SE & Como Ave SE",253
"207","Weisman Art Museum","Williamson Hall",253
"208","6th Ave SE & University Ave","4th Street & 13th Ave SE",251
"209","South 2nd Street & 3rd Ave S","University & Bank Street SE",250
"210","Cooke Hall","15th Ave SE & 4th Street SE",249
"211","S 5th Street & Nicollet Mall","6th Ave SE & University Ave",249
"212","15th Ave SE & 4th Street SE","Como Ave SE & 29th Ave SE",248
"213","Upton Ave S & Sheridan Ave S","Upton Ave S & Sheridan Ave S",248
"214","West 15th Street & Willow","YWCA Downtown",248
"215","Minnehaha Park","Hiawatha Ave & E 50th Street",247
"216","15th Ave SE & 4th Street SE","15th Ave SE & Como Ave SE",246
"217","Weisman Art Museum","Oak Street Ramp",246
"218","23rd Ave SE & University Ave SE","23rd Ave SE & University Ave SE",244
"219","Oak Street Ramp","Weisman Art Museum",244
"220","Washington Ave SE & Union Street SE","Sanford Hall",244
