"","Start.station","End.station","count"
"8629","9th Street N & Hawthorne Ave","YWCA Uptown",7
"8630","Bohemian Flats","9th Street & 4th Ave",7
"8631","Bohemian Flats","Mariucci Arena",7
"8632","Boom Island Park","11th Street & Marquette",7
"8633","Boom Island Park","S 5th Street & Nicollet Mall",7
"8634","Broadway & Marshall Street NE","5th Street NE & 1st Ave NE",7
"8635","Broadway & Marshall Street NE","Loring Park",7
"8636","Broadway Street N & 4th Street E","7th Street E & Wacouta Street",7
"8637","Broadway Street N & 4th Street E","Hague Ave & Dale Street",7
"8638","Carleton Street & University Ave ","27th Ave SE & University Ave",7
"8639","Carleton Street & University Ave ","4th Street S & 19th Ave",7
"8640","Carleton Street & University Ave ","East Lake Street & 36th Ave S",7
"8641","Carleton Street & University Ave ","Minnehaha Park",7
"8642","Carleton Street & University Ave ","University Ave SE & Bedford Street SE",7
"8643","Cedar Street & Columbus Ave","7th Street W & Grand Ave",7
"8644","Central Ave NE & 22nd Ave NE","4th Street & 13th Ave SE",7
"8645","Chicago & 27th Street","9th Street & 4th Ave",7
"8646","Chicago & 27th Street","Willey Hall",7
"8647","Chicago Ave & S Washington Ave","7th Street SE & 10th Ave SE",7
"8648","Chicago Ave & S Washington Ave","Marshall Street NE & Lowry Ave",7
"8649","Chicago Ave & S Washington Ave","Mayo Memorial Building",7
"8650","Civil Engineering","Cooke Hall",7
"8651","Civil Engineering","East Lake Street & 36th Ave S",7
"8652","Civil Engineering","Elliot Hall",7
"8653","Civil Engineering","Gateway Park",7
"8654","Civil Engineering","North 2nd Street & 4th Ave N",7
"8655","Coffman Union","Grand Ave & Fairview Ave",7
"8656","Coffman Union","Hennepin Ave & S Washington Ave",7
"8657","Coffman Union","Midtown Exchange",7
"8658","Coffman Union","University of St. Thomas",7
"8659","Como Ave SE & 29th Ave SE","27th Ave SE & University Ave",7
"8660","Como Ave SE & 29th Ave SE","Hennepin & Central Avenue NE",7
"8661","Como Park Conservatory","15th Ave SE & 4th Street SE",7
"8662","Como Park Conservatory","Portland Ave & Washington Ave",7
"8663","Cooke Hall","Lake Street & Knox Ave S",7
"8664","Curfew Street & Ellis Ave.","4th Street & 17th Ave SE",7
"8665","Curfew Street & Ellis Ave.","Civil Engineering",7
"8666","Curfew Street & Ellis Ave.","Park Ave & 4th Street S",7
"8667","Curfew Street & Ellis Ave.","U of M St. Paul Student Center",7
"8668","Curfew Street & Ellis Ave.","University & Bank Street SE",7
"8669","Currie Park","2nd Ave N & Washington Ave N",7
"8670","Currie Park","N 4th Ave & W River Parkway",7
"8671","Currie Park","University of St. Thomas",7
"8672","Currie Park","Washington & Marquette",7
"8673","Dale Street & Grand Ave.","Kellogg Blvd & Wabasha Street",7
"8674","Dale Street & Grand Ave.","Minnesota Dept. of Transportation",7
"8675","Dale Street & Grand Ave.","University of St. Thomas",7
"8676","Delaware Street SE & 26th Ave SE","22nd Ave S & Franklin Ave",7
"8677","Delaware Street SE & 26th Ave SE","Midtown YWCA",7
"8678","Dupont Ave & 22nd Street","2nd Ave S & S 3rd Street",7
"8679","Dupont Ave & 22nd Street","6th Ave SE & University Ave",7
"8680","Dupont Ave & 22nd Street","Franklin & Portland",7
"8681","Dupont Ave & 22nd Street","Mariucci Arena",7
"8682","Dupont Ave & 22nd Street","Minneapolis Farmers Market",7
"8683","Dupont Ave S & W 29th Street","38th Street Light Rail Station",7
"8684","Dupont Ave S & W 29th Street","Mpls Convention Center",7
"8685","Dupont Ave S & W 29th Street","W 50th Street & W Minnehaha Pkwy",7
"8686","E 14th Street & N Robert Street ","5th Street E & Minnesota Street N",7
"8687","E 14th Street & N Robert Street ","Kellogg Blvd & Wabasha Street",7
"8688","E 38th Street & 42nd Ave S","Lyndale Ave S & 22nd Street ",7
"8689","E Franklin Ave & Bloomington Ave S","Chicago & 27th Street",7
"8690","E Franklin Ave & Bloomington Ave S","Hennepin County Government Center",7
"8691","E Franklin Ave & Bloomington Ave S","Lake Street & West River Parkway",7
"8692","E Franklin Ave & Bloomington Ave S","Nicollet Mall & Grant Street",7
"8693","E Franklin Ave & Bloomington Ave S","Riverside Ave & 23rd Ave S",7
"8694","E Franklin Ave & Bloomington Ave S","West 15th Street & Willow",7
"8695","East Lake Street & 36th Ave S","Mississippi River Blvd & Summit Ave",7
"8696","East Lake Street & 36th Ave S","Social Sciences",7
"8697","Elliot Ave S & E 24th Street","Franklin & 28th Ave",7
"8698","Elliot Ave S & E 24th Street","Lake Street & Knox Ave S",7
"8699","Elliot Ave S & E 24th Street","MCAD",7
"8700","Elliot Hall","2nd Ave N & N 6th Street",7
"8701","Elliot Hall","5th Street NE & 1st Ave NE",7
"8702","Elliot Hall","SE 3rd Ave & University Ave SE",7
"8703","Elliot Park","15th Ave SE & 4th Street SE",7
"8704","Elliot Park","Nicollet Island",7
"8705","Elliot Park","Nicollet Mall & Grant Street",7
"8706","Englewood Ave & N Asbury Street","Fairview Ave & University Ave",7
"8707","Fairview Ave & University Ave","Cleveland Ave S & Highland Parkway",7
"8708","Fairview Ave & University Ave","Lake Street & West River Parkway",7
"8709","Fort Snelling State Park","Upper Landing",7
"8710","Fort Snelling Visitor Center","Lake Nokomis",7
"8711","Franklin & 11th Ave","11th Street & Hennepin",7
"8712","Franklin & 11th Ave","2nd Street SE & 5th Ave SE",7
"8713","Franklin & 11th Ave","S 5th Street & Nicollet Mall",7
"8714","Franklin & 28th Ave","15th Ave SE & Como Ave SE",7
"8715","Franklin & 28th Ave","Hennepin Ave & S Washington Ave",7
"8716","Franklin & 28th Ave","Logan Park",7
"8717","Franklin & 28th Ave","Pleasant Ave S &  Lake Street",7
"8718","Franklin & 28th Ave","Wilder Street & Marshall Ave",7
"8719","Franklin & Portland","4th Street S & 19th Ave",7
"8720","Franklin & Portland","6th Ave SE & University Ave",7
"8721","Franklin & Portland","7th Street SE & 10th Ave SE",7
"8722","Franklin & Portland","YWCA Downtown",7
"8723","Gateway Park","18th Ave Trail & 2nd Street NE",7
"8724","Gateway Park","27th Ave S & Minnehaha Ave",7
"8725","Gateway Park","4th Street & 17th Ave SE",7
"8726","Gateway Park","E Franklin Ave & Bloomington Ave S",7
"8727","Gateway Park","Lake Street & Humboldt",7
"8728","Gateway Park","Washington & Marquette",7
"8729","Grand Ave & Fairview Ave","27th Ave S & Minnehaha Ave",7
"8730","Grand Ave & Fairview Ave","Lake Como Pavilion",7
"8731","Grand Ave & Fairview Ave","Selby Ave & Virginia Street",7
"8732","Grand Ave & Fairview Ave","Sherburne Ave & Snelling Ave N",7
"8733","Grant Street & Portland Ave","15th Ave SE & 4th Street SE",7
"8734","Grant Street & Portland Ave","2nd Ave S & S 3rd Street",7
"8735","Grant Street & Portland Ave","Chicago & 27th Street",7
"8736","Grant Street & Portland Ave","Hennepin & Central Avenue NE",7
"8737","Groveland Ave & Clifton Place","2nd Ave N & Washington Ave N",7
"8738","Groveland Ave & Clifton Place","North 2nd Street & 4th Ave N",7
"8739","Groveland Ave & Clifton Place","Target Field Station",7
"8740","Hague Ave & Dale Street","Union Depot",7
"8741","Hamline Ave N & University Ave","Como Ave SE & 29th Ave SE",7
"8742","Hamline Ave N & University Ave","Dale Street N & University Ave",7
"8743","Hamline Ave N & University Ave","Selby Ave & Virginia Street",7
"8744","Harriet Island","Fort Snelling State Park",7
"8745","Hennepin & Central Avenue NE","4th Street & 17th Ave SE",7
"8746","Hennepin & Central Avenue NE","Coffman Union",7
"8747","Hennepin & Central Avenue NE","Cooke Hall",7
"8748","Hennepin & Laurel Ave","Franklin & Portland",7
"8749","Hennepin & Laurel Ave","N Washington Ave & 9th Ave N",7
"8750","Hennepin & Laurel Ave","Nicollet Mall & Grant Street",7
"8751","Hennepin & Laurel Ave","Portland Ave & Washington Ave",7
"8752","Hennepin County Government Center","27th Ave S & Minnehaha Ave",7
"8753","Hennepin County Government Center","Chicago & 27th Street",7
"8754","Hennepin County Government Center","Coffman Union",7
"8755","Hennepin County Government Center","E Franklin Ave & Bloomington Ave S",7
"8756","Hiawatha Ave & E 50th Street","25th Street & 33rd Ave S",7
"8757","Hiawatha Ave & E 50th Street","Cleveland Ave S & Highland Parkway",7
"8758","Hidden Falls Park","Cleveland Ave S & Highland Parkway",7
"8759","Hidden Falls Park","Minnehaha Park",7
"8760","Hidden Falls Park","Upper Landing",7
"8761","IDS Center","25th Street & 33rd Ave S",7
"8762","IDS Center","Chicago & 27th Street",7
"8763","IDS Center","Lake Street & Humboldt",7
"8764","Kellogg Blvd E & Jackson Street","Dale Street & Grand Ave.",7
"8765","Kellogg Blvd E & Jackson Street","E 14th Street & N Robert Street ",7
"8766","Lake Calhoun Center","Glenwood Ave & N Morgan Ave",7
"8767","Lake Calhoun Center","Malcolm Ave SE & 5th Street SE",7
"8768","Lake Calhoun Center","Midtown YWCA",7
"8769","Lake Calhoun Center","Nicollet Island",7
"8770","Lake Calhoun Center","Pleasant Ave S &  Lake Street",7
"8771","Lake Como Pavilion","23rd Ave SE & 6th Street SE",7
"8772","Lake Como Pavilion","Minnesota History Center",7
"8773","Lake Harriet Bandshell","46th Street Light Rail Station",7
"8774","Lake Harriet Bandshell","Chicago Ave & S Washington Ave",7
"8775","Lake Harriet Bandshell","MCAD",7
"8776","Lake Harriet Bandshell","Nicollet & Franklin",7
"8777","Lake Harriet Bandshell","Wirth Beach",7
"8778","Lake Nokomis","Lake Street & Knox Ave S",7
"8779","Lake Street & Humboldt","15th Ave SE & 4th Street SE",7
"8780","Lake Street & Humboldt","7th Street & 4th Ave S",7
"8781","Lake Street & Humboldt","Elliot Park",7
"8782","Lake Street & Humboldt","Pleasant Ave S &  Lake Street",7
"8783","Lake Street & Knox Ave S","2nd Street SE & 5th Ave SE",7
"8784","Lake Street & Knox Ave S","4th Street & 13th Ave SE",7
"8785","Lake Street & Knox Ave S","5th Ave N & 4th Street N",7
"8786","Lake Street & Knox Ave S","Grant Street & Portland Ave",7
"8787","Lake Street & Knox Ave S","Mill City Quarter",7
"8788","Lake Street & Knox Ave S","S 8th Street & 2nd Ave S",7
"8789","Lake Street & West River Parkway","23rd Ave SE & University Ave SE",7
"8790","Lake Street & West River Parkway","Hague Ave & Dale Street",7
"8791","Lake Street & West River Parkway","Hidden Falls Park",7
"8792","Landmark Plaza","Rice Street & University Ave W",7
"8793","Landmark Plaza","Schmidt Brewery",7
"8794","Lexington Pkwy & University Ave","Lake Street & West River Parkway",7
"8795","Lexington Pkwy & University Ave","Rice Street & University Ave W",7
"8796","Lexington Pkwy & University Ave","University Ave & Western Ave",7
"8797","Logan Park","23rd Ave SE & 6th Street SE",7
"8798","Logan Park","Bryant Ave N & West Broadway",7
"8799","Logan Park","McNamara Center",7
"8800","Logan Park","Portland Ave & Washington Ave",7
"8801","Loring Park","3rd Street N & 8th Ave N",7
"8802","Loring Park","Marshall Street NE & 18th Ave NE",7
"8803","Loring Park","Nicollet Ave & W 37th Street",7
"8804","Lyndale Ave S & 22nd Street ","27th Ave S & Minnehaha Ave",7
"8805","Lyndale Ave S & 22nd Street ","4th Street S & 19th Ave",7
"8806","Lyndale Ave S & 22nd Street ","E 38th Street & 42nd Ave S",7
"8807","Lyndale Ave S & 22nd Street ","Portland Ave & Washington Ave",7
"8808","Lyndale Ave S & 22nd Street ","Washington Ave N & Cedar Lake Trail",7
"8809","Lyndale Ave S & 22nd Street ","West 34th Street  & Hennepin Ave S",7
"8810","Lyndale Ave S & W 29th Street","4th Street & 13th Ave SE",7
"8811","Lyndale Ave S & W 29th Street","Bohemian Flats",7
"8812","Lyndale Ave S & W 29th Street","Chicago Ave & S Washington Ave",7
"8813","Lyndale Ave S & W 29th Street","Hennepin & Central Avenue NE",7
"8814","Lyndale Ave S & W 29th Street","Malcolm Ave SE & 5th Street SE",7
"8815","Lyndale Ave S & W 29th Street","Weisman Art Museum",7
"8816","Macalester College","7th Street W & Grand Ave",7
"8817","Macalester College","Landmark Plaza",7
"8818","Malcolm Ave SE & 5th Street SE","22nd Ave S & Franklin Ave",7
"8819","Malcolm Ave SE & 5th Street SE","25th Street & 33rd Ave S",7
"8820","Malcolm Ave SE & 5th Street SE","Coffman Union",7
"8821","Malcolm Ave SE & 5th Street SE","Park Ave & 4th Street S",7
"8822","Malcolm Ave SE & 5th Street SE","University Ave NE & 12th Ave NE",7
"8823","Mariucci Arena","Lake Street & West River Parkway",7
"8824","Mariucci Arena","Lexington Pkwy & University Ave",7
"8825","Marshall Street NE & 8th Ave NE","11th Street & Hennepin",7
"8826","Marshall Street NE & 8th Ave NE","2nd Street SE & 5th Ave SE",7
"8827","Marshall Street NE & 8th Ave NE","Central Ave NE & 22nd Ave NE",7
"8828","Marshall Street NE & 8th Ave NE","N Washington Ave & 9th Ave N",7
"8829","Marshall Street NE & Lowry Ave","7th Street SE & 10th Ave SE",7
"8830","Marshall Street NE & Lowry Ave","Hennepin Ave & S Washington Ave",7
"8831","Marshall Street NE & Lowry Ave","Portland Ave & Washington Ave",7
"8832","Marshall Street NE & Lowry Ave","Washington & Marquette",7
"8833","Mayo Memorial Building","3rd Street N & 8th Ave N",7
"8834","MCAD","100 Main Street SE",7
"8835","MCAD","3rd Ave S & E 38th Street",7
"8836","MCAD","Franklin & 28th Ave",7
"8837","MCAD","Hennepin & Central Avenue NE",7
"8838","MCAD","Target Field Station",7
"8839","McNamara Center","5th Street NE & 1st Ave NE",7
"8840","McNamara Center","5th Street NE & 3rd Ave NE",7
"8841","McNamara Center","Carleton Street & University Ave ",7
"8842","McNamara Center","East Lake Street & 36th Ave S",7
"8843","McNamara Center","IDS Center",7
"8844","McNamara Center","Park Ave & 4th Street S",7
"8845","Midtown Exchange","100 Main Street SE",7
"8846","Midtown Exchange","11th Street & Hennepin",7
"8847","Midtown Exchange","2nd Ave N & Washington Ave N",7
"8848","Midtown Exchange","46th Street Light Rail Station",7
"8849","Midtown Exchange","Chicago Ave & S Washington Ave",7
"8850","Midtown Greenway & 5th Ave S","3rd Ave S & E 38th Street",7
"8851","Midtown Greenway & 5th Ave S","7th Street SE & 10th Ave SE",7
"8852","Midtown Greenway & 5th Ave S","Lake Nokomis",7
"8853","Midtown Greenway & 5th Ave S","University of St. Thomas",7
"8854","Midtown YWCA","Hennepin Ave & S Washington Ave",7
"8855","Midtown YWCA","Malcolm Ave SE & 5th Street SE",7
"8856","Midtown YWCA","Nicollet & Franklin",7
"8857","Midtown YWCA","Wilder Street & Marshall Ave",7
"8858","Mill City Quarter","Lake Street & Humboldt",7
"8859","Mill City Quarter","North Mississippi Regional Park",7
"8860","Minneapolis Farmers Market","Dupont Ave & 22nd Street",7
"8861","Minneapolis Farmers Market","Hennepin & Central Avenue NE",7
"8862","Minneapolis Farmers Market","Hennepin & Laurel Ave",7
"8863","Minnehaha Park","100 Main Street SE",7
"8864","Minnehaha Park","2nd Ave S & S 3rd Street",7
"8865","Minnehaha Park","3rd Ave S & E 38th Street",7
"8866","Minnehaha Park","Coffman Union",7
"8867","Minnehaha Park","Nicollet Mall & Grant Street",7
"8868","Minnehaha Park","South 2nd Street & 3rd Ave S",7
"8869","Minnehaha Park","University & Bank Street SE",7
"8870","Minnehaha Park","W 36th Street & W Calhoun Parkway",7
"8871","Minnesota Dept. of Transportation","7th Street E & Wacouta Street",7
"8872","Minnesota Dept. of Transportation","E 14th Street & N Robert Street ",7
"8873","Minnesota Dept. of Transportation","Union Depot",7
"8874","Mpls Convention Center","YWCA Uptown",7
"8875","N 4th Ave & W River Parkway","15th Ave SE & 4th Street SE",7
"8876","N 4th Ave & W River Parkway","2nd Ave S & S 3rd Street",7
"8877","N 4th Ave & W River Parkway","Hennepin & Laurel Ave",7
"8878","N 4th Ave & W River Parkway","Midtown Exchange",7
"8879","N Milton Street & Summit Ave","7th Place & Jackson Street",7
"8880","N Milton Street & Summit Ave","Harriet Island",7
"8881","N Robert Street & E 10th Street","Dale Street & Grand Ave.",7
"8882","N Robert Street & E 10th Street","N Milton Street & Summit Ave",7
"8883","N Victoria Street & University Ave ","Hamline Ave N & University Ave",7
"8884","N Victoria Street & University Ave ","Macalester College",7
"8885","N Washington Ave & 9th Ave N","23rd Ave SE & 6th Street SE",7
"8886","N Washington Ave & 9th Ave N","7th Street & 4th Ave S",7
"8887","N Washington Ave & 9th Ave N","Park Ave & 4th Street S",7
"8888","NE Central Ave & NE 14th Ave","University & Bank Street SE",7
"8889","NE Central Ave & NE 14th Ave","University Ave NE & 12th Ave NE",7
"8890","Nicollet & Franklin","5th Ave N & 4th Street N",7
"8891","Nicollet & Franklin","Minnehaha Park",7
"8892","Nicollet Ave & W 37th Street","Dupont Ave & 22nd Street",7
"8893","Nicollet Ave & W 37th Street","Target Field Station",7
"8894","Nicollet Island","4th Street S & 19th Ave",7
"8895","Nicollet Island","9th Street N & Hawthorne Ave",7
"8896","Nicollet Island","Coffman Union",7
"8897","Nicollet Island","Elliot Hall",7
"8898","Nicollet Island","Elliot Park",7
"8899","Nicollet Island","Loring Park",7
"8900","Nicollet Island","Lyndale Ave S & 22nd Street ",7
"8901","Nicollet Island","Midtown Greenway & 5th Ave S",7
"8902","Nicollet Island","Minneapolis Park & Recreation Board",7
"8903","Nicollet Mall & Grant Street","4th Street S & 19th Ave",7
"8904","Nicollet Mall & Grant Street","Chicago & 27th Street",7
"8905","Nicollet Mall & Grant Street","Dupont Ave S & W 29th Street",7
"8906","Nicollet Mall & Grant Street","YWCA Uptown",7
"8907","North 2nd Street & 4th Ave N","15th Ave SE & Como Ave SE",7
"8908","North 2nd Street & 4th Ave N","22nd Ave S & Franklin Ave",7
"8909","North 2nd Street & 4th Ave N","4th Street & 17th Ave SE",7
"8910","North 2nd Street & 4th Ave N","Lyndale Ave S & W 29th Street",7
"8911","North 2nd Street & 4th Ave N","W 31st Street & Hennepin Ave S",7
"8912","North Mississippi Regional Park","Mill City Quarter",7
"8913","Oak Street Ramp","E Franklin Ave & Bloomington Ave S",7
"8914","Oak Street Ramp","Portland Ave & Washington Ave",7
"8915","Park Ave & 4th Street S","15th Ave SE & 4th Street SE",7
"8916","Park Ave & 4th Street S","23rd Ave SE & University Ave SE",7
"8917","Park Ave & 4th Street S","25th Street & 33rd Ave S",7
"8918","Park Ave & 4th Street S","Coffman Union",7
"8919","Park Ave & 4th Street S","Franklin & 28th Ave",7
"8920","Park Ave & 4th Street S","Hiawatha Ave & E 50th Street",7
"8921","Park Ave & 4th Street S","Lake Calhoun Center",7
"8922","Park Ave & 4th Street S","Lake Street & Humboldt",7
"8923","Park Ave & 4th Street S","Minneapolis Park & Recreation Board",7
"8924","Park Ave & 4th Street S","University Ave SE & Bedford Street SE",7
"8925","Pleasant Ave S &  Lake Street","28th Street & Nicollet Ave. S",7
"8926","Pleasant Ave S &  Lake Street","Weisman Art Museum",7
"8927","Plymouth Ave N &  N Oliver Ave","2nd Ave N & Washington Ave N",7
"8928","Portland Ave & Washington Ave","23rd Ave SE & University Ave SE",7
"8929","Portland Ave & Washington Ave","28th Street & Nicollet Ave. S",7
"8930","Portland Ave & Washington Ave","4th Street & 17th Ave SE",7
"8931","Portland Ave & Washington Ave","Nicollet Ave & W 37th Street",7
"8932","Rice Street & University Ave W","7th Street W & Grand Ave",7
"8933","Rice Street & University Ave W","Como Park Conservatory",7
"8934","Rice Street & University Ave W","Wabasha Street S & E Fillmore Ave",7
"8935","Riverside Ave & 23rd Ave S","2nd Ave N & Washington Ave N",7
"8936","Riverside Ave & 23rd Ave S","Bohemian Flats",7
"8937","Riverside Ave & 23rd Ave S","Grant Street & Portland Ave",7
"8938","Riverside Ave & 23rd Ave S","Midtown Greenway & 5th Ave S",7
"8939","Riverside Ave & 23rd Ave S","University & Bank Street SE",7
"8940","S 5th Street & Nicollet Mall","Marshall Street NE & 18th Ave NE",7
"8941","S 5th Street & Nicollet Mall","U of M St. Paul Student Center",7
"8942","S 5th Street & Nicollet Mall","Williamson Hall",7
"8943","S 8th Street & 2nd Ave S","2nd Street N & 8th Ave N",7
"8944","S 8th Street & 2nd Ave S","5th Ave N & 4th Street N",7
"8945","S 8th Street & 2nd Ave S","Currie Park",7
"8946","Sanford Hall","22nd Ave S & Franklin Ave",7
"8947","Sanford Hall","2nd Ave N & Washington Ave N",7
"8948","Sanford Hall","5th Ave N & 4th Street N",7
"8949","Sanford Hall","Lake Calhoun Center",7
"8950","Sanford Hall","MCAD",7
"8951","Sanford Hall","Mississippi River Blvd & Summit Ave",7
"8952","Sanford Hall","South 2nd Street & 3rd Ave S",7
"8953","Sanford Hall","Target Field Station",7
"8954","Sanford Hall","U of M St. Paul Student Center",7
"8955","Schmidt Brewery","Landmark Plaza",7
"8956","Schmidt Brewery","Mississippi River Blvd & Summit Ave",7
"8957","Schmidt Brewery","Shepard Road & Sibley Street",7
"8958","Science Museum of Minnesota","Cedar Street & Columbus Ave",7
"8959","SE 3rd Ave & University Ave SE","7th Street SE & 10th Ave SE",7
"8960","SE 3rd Ave & University Ave SE","Mpls Convention Center",7
"8961","Selby Ave & Virginia Street","7th Street E & Wacouta Street",7
"8962","Sherburne Ave & Snelling Ave N","Union Depot",7
"8963","Social Sciences","38th Street Light Rail Station",7
"8964","Social Sciences","Dupont Ave S & W 29th Street",7
"8965","Social Sciences","East Lake Street & 36th Ave S",7
"8966","Social Sciences","Lake Street & Knox Ave S",7
"8967","Social Sciences","Logan Park",7
"8968","Social Sciences","Lyndale Ave S & 22nd Street ",7
"8969","South 2nd Street & 3rd Ave S","Plymouth Ave N &  N Oliver Ave",7
"8970","South 2nd Street & 3rd Ave S","Washington Ave SE & Union Street SE",7
"8971","Target Field Station","Lake Street & Humboldt",7
"8972","Target Field Station","Washington & Marquette",7
"8973","U of M St. Paul Student Center","Delaware Street SE & 26th Ave SE",7
"8974","U of M St. Paul Student Center","Franklin & 28th Ave",7
"8975","U of M St. Paul Student Center","Mariucci Arena",7
"8976","U of M St. Paul Student Center","University Ave SE & Bedford Street SE",7
"8977","University & Bank Street SE","3rd Street NE & Lowry Ave NE",7
"8978","University & Bank Street SE","Lake Street & West River Parkway",7
"8979","University Ave & Western Ave","Hamline Ave N & University Ave",7
"8980","University Ave NE & 12th Ave NE","Boom Island Park",7
"8981","University Ave NE & 12th Ave NE","Hennepin County Government Center",7
"8982","University Ave NE & 12th Ave NE","Malcolm Ave SE & 5th Street SE",7
"8983","University Ave NE & 12th Ave NE","S 5th Street & Nicollet Mall",7
"8984","University Ave NE & 12th Ave NE","South 2nd Street & 3rd Ave S",7
"8985","University Ave SE & Bedford Street SE","Cooke Hall",7
"8986","University Ave SE & Bedford Street SE","Riverside Ave & 23rd Ave S",7
"8987","Upper Landing","Minnehaha Park",7
"8988","Upton Ave S & Sheridan Ave S","26th Street & Hennepin",7
"8989","Upton Ave S & Sheridan Ave S","Franklin & 11th Ave",7
"8990","W 31st Street & Hennepin Ave S","100 Main Street SE",7
"8991","W 31st Street & Hennepin Ave S","25th Street & 33rd Ave S",7
"8992","W 31st Street & Hennepin Ave S","4th Street S & 19th Ave",7
"8993","W 31st Street & Hennepin Ave S","6th Ave SE & University Ave",7
"8994","W 31st Street & Hennepin Ave S","Hennepin County Government Center",7
"8995","W 31st Street & Hennepin Ave S","IDS Center",7
"8996","W 31st Street & Hennepin Ave S","Minnehaha Park",7
"8997","W 36th Street & W Calhoun Parkway","Groveland Ave & Clifton Place",7
"8998","W 36th Street & W Calhoun Parkway","Hennepin & Laurel Ave",7
"8999","W 36th Street & W Calhoun Parkway","Mpls Convention Center",7
"9000","W 36th Street & W Calhoun Parkway","Nicollet Ave & W 37th Street",7
"9001","W 50th Street & W Minnehaha Pkwy","100 Main Street SE",7
"9002","Wabasha Street S & E Fillmore Ave","7th Place & Jackson Street",7
"9003","Wabasha Street S & E Fillmore Ave","Selby Ave & Virginia Street",7
"9004","Walker Art Center","22nd Ave S & Franklin Ave",7
"9005","Walker Art Center","3rd Ave S & E 38th Street",7
"9006","Walker Art Center","Broadway & Marshall Street NE",7
"9007","Washington & Cedar","3rd Street N & 8th Ave N",7
"9008","Washington & Cedar","Cooke Hall",7
"9009","Washington & Cedar","Grant Street & Portland Ave",7
"9010","Washington & Cedar","Lake Street & Humboldt",7
"9011","Washington & Cedar","Marshall Street NE & Lowry Ave",7
"9012","Washington & Marquette","7th Street SE & 10th Ave SE",7
"9013","Washington & Marquette","Coffman Union",7
"9014","Washington & Marquette","Malcolm Ave SE & 5th Street SE",7
"9015","Washington & Marquette","Marshall Street NE & Lowry Ave",7
"9016","Washington & Marquette","McNamara Center",7
"9017","Washington & Marquette","Midtown Greenway & 5th Ave S",7
"9018","Washington Ave N & Cedar Lake Trail","Dupont Ave S & W 29th Street",7
"9019","Washington Ave N & Cedar Lake Trail","Grant Street & Portland Ave",7
"9020","Washington Ave N & Cedar Lake Trail","Groveland Ave & Clifton Place",7
"9021","Washington Ave N & Cedar Lake Trail","Lake Street & West River Parkway",7
"9022","Washington Ave N & Cedar Lake Trail","NE Central Ave & NE 14th Ave",7
"9023","Washington Ave N & Cedar Lake Trail","S 8th Street & 2nd Ave S",7
"9024","Washington Ave S & 10th Ave S","Broadway & Marshall Street NE",7
"9025","Washington Ave S & 10th Ave S","Minnehaha Park",7
"9026","Washington Ave S & 10th Ave S","Williamson Hall",7
"9027","Washington Ave SE & Union Street SE","22nd Ave NE & California Street NE",7
"9028","Washington Ave SE & Union Street SE","27th Ave S & Minnehaha Ave",7
"9029","Washington Ave SE & Union Street SE","2nd Ave N & Washington Ave N",7
"9030","Washington Ave SE & Union Street SE","Hennepin County Government Center",7
"9031","Washington Ave SE & Union Street SE","Lake Calhoun Center",7
"9032","Washington Ave SE & Union Street SE","Marshall Street NE & 8th Ave NE",7
"9033","Washington Ave SE & Union Street SE","Mill City Quarter",7
"9034","Washington Ave SE & Union Street SE","Minnehaha Park",7
"9035","Washington Ave SE & Union Street SE","Nicollet Island",7
"9036","Washington Ave SE & Union Street SE","University of St. Thomas",7
"9037","Weisman Art Museum","10th Street & Nicollet Mall",7
"9038","Weisman Art Museum","East Lake Street & 36th Ave S",7
"9039","Weisman Art Museum","SE 3rd Ave & University Ave SE",7
"9040","Weisman Art Museum","Washington Ave N & Cedar Lake Trail",7
"9041","Weisman Art Museum","YWCA Downtown",7
"9042","West 15th Street & Willow","Marshall Street NE & 18th Ave NE",7
"9043","West 32nd Street & Bryant Ave S","Midtown YWCA",7
"9044","West 32nd Street & Bryant Ave S","Mpls Convention Center",7
"9045","West 34th Street  & Hennepin Ave S","Lake Nokomis",7
"9046","West 34th Street  & Hennepin Ave S","MCAD",7
"9047","West 36th Street & Bryant Ave S","2nd Ave N & N 6th Street",7
"9048","West 36th Street & Bryant Ave S","Hennepin & Central Avenue NE",7
"9049","Wilder Street & Marshall Ave","27th Ave SE & University Ave",7
"9050","Wilder Street & Marshall Ave","Bohemian Flats",7
"9051","Wilder Street & Marshall Ave","Riverside Ave & 23rd Ave S",7
"9052","Wilder Street & Marshall Ave","Selby Ave & Virginia Street",7
"9053","Willey Hall","23rd Ave SE & 6th Street SE",7
"9054","Willey Hall","2nd Ave N & N 6th Street",7
"9055","Willey Hall","2nd Street N & 8th Ave N",7
"9056","Willey Hall","2nd Street SE & 5th Ave SE",7
"9057","Willey Hall","7th Street & 4th Ave S",7
"9058","Willey Hall","Gateway Park",7
"9059","Willey Hall","Lyndale Ave S & 22nd Street ",7
"9060","Willey Hall","University & Bank Street SE",7
"9061","Williamson Hall","Riverside Ave & 23rd Ave S",7
"9062","Wirth Beach","West 15th Street & Willow",7
"9063","YWCA Downtown","Bohemian Flats",7
"9064","YWCA Downtown","Midtown Greenway & 5th Ave S",7
"9065","YWCA Uptown","Midtown YWCA",7
"9066","YWCA Uptown","S 8th Street & 2nd Ave S",7
"9067","100 Main Street SE","Dupont Ave & 22nd Street",6
