"","Stationnumber","date","weekday","RidesOut","RidesIn","Rideoutminusin","Name","Latitude","Longitude","Total.docks"
"109","30053",2017-11-05,"Sun",3,3,0,"2nd Ave N & N 6th Street",44.980536,-93.275626,23
"110","30029",2017-11-04,"Sat",2,2,0,"Hennepin County Government Center",44.976602,-93.266701,41
"111","30101",2017-11-04,"Sat",2,2,0,"N Milton Street & Summit Ave",44.941599,-93.138832,15
"112","30115",2017-11-04,"Sat",8,10,-2,"Washington Ave SE & Union Street SE",44.97394,-93.2321,31
"113","30019",2017-11-04,"Sat",9,4,5,"Social Sciences",44.97063898,-93.24355245,27
"114","30040",2017-11-04,"Sat",1,3,-2,"11th Street & Marquette",44.97265,-93.27405,19
"115","30002",2017-11-04,"Sat",2,1,1,"Riverside Ave & 23rd Ave S",44.967115,-93.240149,15
"116","30074",2017-11-04,"Sat",3,2,1,"27th Ave SE & University Ave",44.97259,-93.218919,15
"117","30182",2017-11-04,"Sat",7,6,1,"Sanford Hall",44.980831,-93.240282,23
"118","30195",2017-11-04,"Sat",6,8,-2,"Willey Hall",44.972404,-93.242891,23
"119","30008",2017-11-04,"Sat",2,3,-1,"Midtown Exchange",44.94859,-93.2602,19
"120","30060",2017-11-04,"Sat",1,0,1,"Nicollet & Franklin",44.96342,-93.277939,23
"121","30053",2017-11-04,"Sat",1,1,0,"2nd Ave N & N 6th Street",44.980536,-93.275626,23
"122","30004",2017-11-04,"Sat",9,4,5,"11th Street & Hennepin",44.97534,-93.27869,23
"123","30027",2017-11-04,"Sat",2,5,-3,"4th Street S & 19th Ave",44.97003,-93.24519,19
"124","30202",2017-11-04,"Sat",2,3,-1,"Mill City Quarter",44.9805,-93.2618,23
"125","30086",2017-11-04,"Sat",2,1,1,"Macalester College",44.940218,-93.17022,15
"126","30184",2017-11-04,"Sat",1,7,-6,"Hennepin Ave & S Washington Ave",44.981895,-93.269195,23
"127","30110",2017-11-04,"Sat",3,3,0,"15th Ave SE & Como Ave SE",44.987517,-93.230469,19
"128","30034",2017-11-04,"Sat",3,2,1,"Oak Street Ramp",44.97202,-93.22697,23
"129","30055",2017-11-04,"Sat",9,11,-2,"Malcolm Ave SE & 5th Street SE",44.97337143,-93.21126401,24
"130","30093",2017-11-04,"Sat",4,6,-2,"West 15th Street & Willow",44.968237,-93.281991,23
"131","30018",2017-11-04,"Sat",1,3,-2,"MCAD",44.957214,-93.274981,17
"132","30107",2017-11-04,"Sat",1,0,1,"Dale Street N & University Ave",44.956066,-93.126088,15
"133","30024",2017-11-04,"Sat",7,5,2,"Coffman Union",44.973378,-93.234762,35
"134","30057",2017-11-04,"Sat",6,5,1,"McNamara Center",44.9743,-93.22854,19
"135","30197",2017-11-04,"Sat",11,8,3,"15th Ave SE & 4th Street SE",44.979878,-93.234739,23
"136","30187",2017-11-04,"Sat",5,5,0,"Groveland Ave & Clifton Place",44.966145,-93.286294,19
"137","30000",2017-11-04,"Sat",3,2,1,"100 Main Street SE",44.984892,-93.256551,27
"138","30025",2017-11-04,"Sat",2,1,1,"Williamson Hall",44.977406,-93.234911,25
"139","30193",2017-11-04,"Sat",3,1,2,"Mariucci Arena",44.977899,-93.226629,25
"140","30143",2017-11-04,"Sat",4,5,-1,"Chicago Ave & S Washington Ave",44.977521,-93.256736,19
"141","30047",2017-11-04,"Sat",5,5,0,"University & Bank Street SE",44.98717,-93.25576,19
"142","30091",2017-11-04,"Sat",3,2,1,"Gateway Park",44.9825943,-93.2675139,19
"143","30042",2017-11-04,"Sat",4,7,-3,"IDS Center",44.975641,-93.272185,23
"144","30192",2017-11-04,"Sat",2,2,0,"Cooke Hall",44.976303,-93.230029,15
"145","30144",2017-11-04,"Sat",1,3,-2,"N 4th Ave & W River Parkway",44.988461,-93.269087,15
"146","30154",2017-11-04,"Sat",20,21,-1,"11th Ave S & S 2nd Street",44.97673,-93.252189,23
"147","30186",2017-11-04,"Sat",5,7,-2,"S 5th Street & Nicollet Mall",44.97866518,-93.27050328,19
"148","30052",2017-11-04,"Sat",4,5,-1,"Nicollet Mall & Grant Street",44.96995,-93.278133,15
"149","30061",2017-11-04,"Sat",1,2,-1,"W 31st Street & Hennepin Ave S",44.946687,-93.29736,19
"150","30140",2017-11-04,"Sat",2,2,0,"Rice Street & University Ave W",44.95562146,-93.10574323,15
"151","30039",2017-11-04,"Sat",4,4,0,"10th Street & Nicollet Mall",44.973839,-93.274544,19
"152","30088",2017-11-04,"Sat",7,7,0,"6th Ave SE & University Ave",44.983281,-93.24812,27
"153","30147",2017-11-04,"Sat",3,3,0,"Lake Street & West River Parkway",44.948452,-93.206201,15
"154","30095",2017-11-04,"Sat",2,0,2,"West 36th Street & Bryant Ave S",44.93775,-93.2912,15
"155","30090",2017-11-04,"Sat",2,2,0,"Portland Ave & Washington Ave",44.978068,-93.26023,19
"156","30183",2017-11-04,"Sat",3,5,-2,"Weisman Art Museum",44.973607,-93.237254,19
"157","30043",2017-11-04,"Sat",1,1,0,"Lake Street & Humboldt",44.94865,-93.30077,19
"158","30104",2017-11-04,"Sat",1,2,-1,"Logan Park",44.99882,-93.25276,23
"159","30028",2017-11-04,"Sat",1,1,0,"Washington & Marquette",44.98087361,-93.26692522,19
"160","30035",2017-11-04,"Sat",1,1,0,"Loring Park",44.9715,-93.284927,15
"161","30020",2017-11-04,"Sat",1,0,1,"YWCA Uptown",44.95131,-93.29853,19
"162","30045",2017-11-04,"Sat",2,2,0,"Franklin & 28th Ave",44.962701,-93.230893,19
"163","30017",2017-11-04,"Sat",8,4,4,"Lyndale Ave S & 22nd Street ",44.960744,-93.28815,19
"164","30009",2017-11-04,"Sat",3,5,-2,"4th Street & 13th Ave SE",44.98102,-93.23746,27
"165","30149",2017-11-04,"Sat",3,4,-1,"Minnehaha Park",44.916906,-93.213587,27
"166","30011",2017-11-04,"Sat",4,2,2,"North 2nd Street & 4th Ave N",44.986087,-93.272459,19
"167","30087",2017-11-04,"Sat",2,1,1,"Grant Street & Portland Ave",44.96954,-93.2669,15
"168","30194",2017-11-04,"Sat",2,5,-3,"23rd Ave SE & University Ave SE",44.974397,-93.223002,23
"169","30037",2017-11-04,"Sat",1,1,0,"Currie Park",44.969225,-93.251136,15
"170","NRHQ",2017-11-04,"Sat",1,1,0,"Nice Ride World Headquarters",44.953566,-93.220066,7
"171","30010",2017-11-04,"Sat",4,3,1,"Hennepin & Laurel Ave",44.97391,-93.28305,15
"172","30161",2017-11-04,"Sat",2,3,-1,"27th Ave S & Minnehaha Ave",44.947329,-93.233092,15
"173","30118",2017-11-04,"Sat",2,1,1,"7th Place & Jackson Street",44.949433,-93.091207,15
"174","30157",2017-11-04,"Sat",2,2,0,"Lake Harriet Bandshell",44.92936,-93.30713,25
"175","30160",2017-11-04,"Sat",2,1,1,"Dupont Ave S & W 29th Street",44.949699,-93.293129,15
"176","30015",2017-11-04,"Sat",5,4,1,"Washington & Cedar",44.97344,-93.24748,20
"177","30100",2017-11-04,"Sat",2,2,0,"Lake Como Pavilion",44.981914,-93.143383,23
"178","30014",2017-11-04,"Sat",6,3,3,"22nd Ave S & Franklin Ave",44.96293,-93.241042,15
"179","30038",2017-11-04,"Sat",2,2,0,"E Franklin Ave & Bloomington Ave S",44.96285,-93.252269,15
"180","30185",2017-11-04,"Sat",1,0,1,"5th Street NE & 3rd Ave NE",44.991821,-93.255558,15
"181","30026",2017-11-04,"Sat",3,1,2,"Mayo Memorial Building",44.97209,-93.23206,25
"182","30181",2017-11-04,"Sat",1,1,0,"5th Ave N & 4th Street N",44.98446,-93.277234,23
"183","30176",2017-11-04,"Sat",4,2,2,"Washington Ave N & Cedar Lake Trail",44.985406,-93.274031,19
"184","30083",2017-11-04,"Sat",1,0,1,"Wilder Street & Marshall Ave",44.948147,-93.185819,15
"185","30030",2017-11-04,"Sat",7,8,-1,"South 2nd Street & 3rd Ave S",44.98092673,-93.26345444,23
"186","30064",2017-11-04,"Sat",3,2,1,"28th Street & Nicollet Ave. S",44.9519,-93.27831,15
"187","30199",2017-11-04,"Sat",1,0,1,"Hidden Falls Park",44.90700063,-93.19143176,19
"188","30155",2017-11-04,"Sat",2,4,-2,"University of St. Thomas",44.93992412,-93.19278225,15
"189","30113",2017-11-04,"Sat",2,1,1,"U of M St. Paul Student Center",44.984527,-93.185029,15
