"","Stationnumber","Name","weekday","RidesOut","RidesIn","Rideoutminusin"
"982","30143","Chicago Ave & S Washington Ave","Fri",1.59230769230769,1.61282051282051,-0.0205128205128205
"983","30143","Chicago Ave & S Washington Ave","Thu",1.34715025906736,1.3419689119171,0.00518134715025907
"984","30143","Chicago Ave & S Washington Ave","Wed",1.17441860465116,1.24127906976744,-0.0668604651162791
"985","30143","Chicago Ave & S Washington Ave","Tue",1.36389684813754,1.44985673352436,-0.0859598853868195
"986","30143","Chicago Ave & S Washington Ave","Mon",1.5045871559633,1.4954128440367,0.00917431192660551
"987","30143","Chicago Ave & S Washington Ave","Sun",1.89020771513353,1.87833827893175,0.0118694362017804
"988","30144","N 4th Ave & W River Parkway","Sun",1.88216560509554,2.08917197452229,-0.207006369426752
"989","30144","N 4th Ave & W River Parkway","Sat",2.25225225225225,2.1981981981982,0.0540540540540541
"990","30144","N 4th Ave & W River Parkway","Fri",1.49382716049383,1.48456790123457,0.00925925925925926
"991","30144","N 4th Ave & W River Parkway","Thu",1.13840830449827,1.15570934256055,-0.0173010380622837
"992","30144","N 4th Ave & W River Parkway","Tue",1.20401337792642,1.24080267558528,-0.0367892976588629
"993","30144","N 4th Ave & W River Parkway","Wed",1.05,1.16428571428571,-0.114285714285714
"994","30144","N 4th Ave & W River Parkway","Mon",1.25482625482625,1.31274131274131,-0.0579150579150579
"995","30145","Minneapolis Park & Recreation Board","Wed",0.866242038216561,0.910828025477707,-0.0445859872611465
"996","30145","Minneapolis Park & Recreation Board","Mon",0.782178217821782,0.782178217821782,0
"997","30145","Minneapolis Park & Recreation Board","Sat",1.41509433962264,1.5188679245283,-0.10377358490566
"998","30145","Minneapolis Park & Recreation Board","Fri",1.03448275862069,1,0.0344827586206897
"999","30145","Minneapolis Park & Recreation Board","Thu",0.775862068965517,0.896551724137931,-0.120689655172414
"1000","30145","Minneapolis Park & Recreation Board","Tue",0.8,0.819047619047619,-0.019047619047619
