,Stationnumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
56,30056,0.2,0.333333333,-3,-0.5,-0.857142857,-0.2,1.142857143,-0.1,0.52173913,0.444444444,-0.111111111,-0.8,-0.444444444,-1,-1,-0.571428571,-0.578947368,0.318181818,0,-0.5,0.769230769,-0.153846154,1.5,-0.8
57,30057,0.375,0.25,-0.833333333,0,0,-0.333333333,-0.578947368,-1.807692308,-1.5,-0.586206897,-0.8,-0.7,-0.806451613,1.033333333,0.107142857,-0.333333333,2.392857143,1,0.193548387,0.185185185,-0.703703704,0,0.45,-0.2
58,30058,0,0,0,0,0,0,-1,-1.090909091,-1.961538462,-0.875,-0.9,-0.666666667,0.304347826,-0.304347826,0.5,0.52173913,1.62962963,1.227272727,0.875,0.75,0.692307692,1,0,1
59,30059,0,1,0,0,0,0,0,1,0.888888889,1,0,-1,-0.666666667,0.4,-0.666666667,-0.25,-1,-1.1,-1,0.333333333,2.5,-1,0,0
60,30060,-0.625,0,0.5,1,1,1,1.2,1.615384615,1.3,0.294117647,1.277777778,0.857142857,0.65,0.294117647,0.066666667,-0.55,-1.083333333,-1.464285714,-0.884615385,-0.423076923,-1.5,-1.058823529,-0.666666667,-0.833333333
61,30061,0,0,-1,0,-1,0.5,0,0.583333333,-0.666666667,0.375,1.166666667,-0.25,-0.230769231,-0.076923077,-0.230769231,-0.272727273,-0.176470588,-1.166666667,0.142857143,0.578947368,-0.533333333,-0.222222222,1.5,0
62,30062,0,-1,0,0,1,-1,1,-0.941176471,-0.7,-0.5,-0.642857143,0.090909091,0.533333333,0.5,-0.222222222,0.285714286,0.65,0.7,0.833333333,0.125,-0.6,-0.5,1,0
63,30063,0.75,0,0,1,1,-1,-2,-1.48,-0.111111111,-0.5,0.636363636,0.545454545,-0.272727273,-0.45,-0.238095238,0.227272727,1.347826087,1.041666667,0.2,0.428571429,0.111111111,0,1,-0.142857143
64,30064,0,0,-1,-1,1,-1,1,0.857142857,0.875,0.75,0.272727273,0.444444444,0.142857143,0.111111111,-0.714285714,0.181818182,-0.444444444,-0.727272727,0.1875,-0.125,-1,-0.363636364,1.5,-1.285714286
65,30065,-1,0,0,0,1,0,0.5,-0.6875,1.541666667,0.818181818,-1,0.2,0.3,0.153846154,0.375,-0.571428571,0.318181818,-0.269230769,-1.25,-0.909090909,-0.666666667,-0.923076923,-0.666666667,-1.5
66,30066,0,1,0,0,0,0,0,0,1.272727273,-1,1,0,1.285714286,-1,-0.571428571,0.444444444,0,-0.75,-0.846153846,0.8,-1,-1.5,0,0
67,30067,0,0,0,-1,-1,0,0,-1,0,-1,1,-0.5,1.333333333,0.5,0.5,-0.666666667,-0.333333333,0.5,0,-1,-0.333333333,0,0,0
68,30068,-1,0,0,0,-1,0,0,0,-1,0,0.75,-1,0.666666667,-1,-0.666666667,0,0.25,0,0,-1,-0.666666667,-1,0,0
69,30069,0,0,0,0,0,1,1,1.055555556,-1,1,0,0.5,1.5,0.5,-0.25,-1,-0.777777778,-0.75,-1,-0.666666667,0.4,-1.333333333,0,0
70,30070,0,0,0,0,0,0,0,0,0.5,2,0,0.666666667,1,1.222222222,-0.5,-3,0.5,-0.666666667,-1,0,0,-0.5,-2,0
71,30071,0,0,0,0,0,1,0,1,0,1,0,0.333333333,-0.25,-0.428571429,0,-0.5,0,1,1,0,0.5,-4,-1,0
72,30073,-1,-1.333333333,1.5,0,0,0,0,0.8,1.181818182,0.333333333,1.5,0.6,-0.333333333,0.875,0.857142857,-1.153846154,-0.5,0.375,-0.111111111,0.6,-0.6,-1.428571429,0,1
73,30074,-0.5,-1.5,-0.333333333,-1,1,1,1.125,1.473684211,2.260869565,1.681818182,0.72,0.5,0,-0.380952381,0.363636364,-0.47826087,-0.368421053,0.291666667,-0.04,-1.576923077,-0.833333333,-1,-0.454545455,-0.4
74,30075,1,0,0,0,0,0,0.75,0.857142857,-0.333333333,1,0.5,0,-0.2,-0.333333333,0,-1.333333333,0.75,0.6,-0.666666667,-0.230769231,-0.125,-0.8,-1.5,-3
